name,lat,lon,open,close,income,id,amount
Cafe Podima,42.361008,-71.06493,11,11,1,228,20
Felcaros Pizzeria,42.360996,-71.068054,11,11,1,234,12
Fin's,42.36102,-71.06682,11,11,1,231,19
Legal Seafoods,42.362705,-71.08784,11,11,1,127,13
Za Restaurant,42.363495,-71.083466,11,11,1,105,10
Cheescake Factory,42.367172,-71.076256,10,11,1,66,19
Jobi Liquors,42.361008,-71.06499,9,11,1,228,22
Simmons Liquor,42.361004,-71.0661,9,11,1,229,17
Clover,42.362602,-71.086624,8,11,1,128,20
Anna's Taqueria,42.360992,-71.067154,7,11,1,231,19
Dunkin' Donuts,42.362434,-71.0832,6,11,1,96,19
