Node Number,"T (7am, No carpool)","T (7am, With carpool)","T (9am, No carpool)","T (9am, With carpool)","T (11am, No carpool)","T (11am, With carpool)","T (Distributed, No carpool)","T (Distributed, With carpool)"
169,165.246,165.2224,234.76,214.7501,165.2602,165.2194,206.327,204.198
170,150.234,150.852,233.238,204.643,130.475,135.717,174.922,172.478
171,147.273,147.891,230.277,201.682,127.514,132.756,171.961,169.517
172,133.441,134.06,216.446,187.85,113.682,118.925,158.13,155.686
173,169.3302,169.30606,239.7738,219.5184,169.346,169.3032,210.487,208.288
174,159.3437,159.3195,229.787,209.5319,159.35973,159.3167,200.5005,198.3272
175,186.153,186.442,264.485,239.231,182.776,183.355,224.388,221.575
176,185.829,186.151,263.787,238.527,182.096,182.741,223.681,220.876
177,185.246,185.628,262.533,237.272,180.874,181.639,222.426,219.622
178,183.829,184.355,259.485,234.224,177.902,178.958,219.378,216.574
179,181.681,182.207,257.337,232.105,175.754,176.81,217.742,215.582
180,181.564,182.322,255.293,229.354,173.154,174.675,214.508,211.704
181,178.0351,179.0868,253.6397,227.9526,166.6728,170.1533,204.0195,201.2576
182,173.5513,174.603,249.1559,223.4688,162.189,165.6695,199.5357,196.7738
183,168.49174,169.7543,241.851,216.5975,160.5012,163.4657,196.41158,193.631767
184,167.47534,168.78027,240.3766,215.2172,160.1621,163.0229,195.78399,193.00058
185,165.9263,167.2958,238.1385,213.1135,159.64534,162.34819,194.8275,192.0386
186,163.7482,165.1379,235.3807,210.8852,157.9561,160.6669,192.5993,189.8115
187,161.5626,162.9727,232.613,208.6493,156.261,158.9798,190.3633,187.5767
188,159.7532,161.1801,230.012,206.798,154.8577,157.5831,188.5123,185.7266
189,160.1228,161.7452,232.18,208.5427,155.3541,158.214,189.5998,186.8234
190,161.4374,163.0005,233.822,209.7794,156.3228,159.1378,190.9695,188.1903
191,166.6153,167.945,240.2766,214.6507,160.13846,162.7767,196.36467,193.57435
192,169.6557,170.8745,243.81089,218.15355,162.4394,164.9367,199.8675,197.0772
193,173.4741,174.5538,248.2236,222.5528,165.329,167.6495,204.2667,201.4764
194,173.7786,174.8439,248.4734,222.7931,165.6131,167.8991,204.6768,201.8785
195,181.105,181.885,254.597,228.721,172.571,174.156,213.873,211.075
196,179.99,180.812,250.2834,224.4074,171.615,173.28,209.559,206.762
197,179.181,180.034,247.1423,221.2752,170.92,172.645,206.4278,203.6304
198,176.9552,177.8926,238.5292,212.6624,169.0106,170.8971,197.815,195.0198
199,167.0579,168.37082,238.5339,212.9358,160.5183,163.1243,194.6517,191.8731
200,166.3362,167.682,239.1881,214.028,159.93872,162.60313,195.742,192.95226
201,165.3342,166.7216,238.6761,213.4455,159.194409,161.87638,195.0298,192.2422
202,160.1313,160.1077,229.61,209.6101,160.14543,160.1047,201.2096,199.0835
203,157.546,157.523,226.673,206.77,157.5598,157.52,198.5965,196.497
204,153.292,153.269,222.361,202.474,153.3056,153.2659,194.3377,192.2426
205,152.058,152.081,220.486,199.953,151.9284,151.9698,192.6396,190.6475
206,149.857,149.961,217.141,195.457,149.4718,149.658,189.6105,187.8022
207,147.948,148.123,214.241,191.558,147.342,147.653,186.9839,185.3349
208,146.937,147.149,212.705,189.493,146.213,146.591,185.592,184.0279
209,151.136,151.113,219.743,200.076,151.1489,151.11,192.1452,190.0847
210,148.283,148.26,216.719,197.133,148.296,148.257,189.2786,187.2309
211,146.958,146.936,213.532,194.832,146.967,146.933,187.8057,185.8972
212,145.979,145.962,201.996,188.322,145.967,145.958,185.989,184.8704
213,141.422,141.406,197.391,183.74,141.41,141.401,181.429,180.313
214,143.079,143.185,208.272,185.22,142.702,142.889,182.36,181.087
215,141.828,141.9,201.464,183.818,141.564,141.689,181.312,180.134
216,138.84,138.825,186.921,180.241,138.825,138.82,178.708,177.724
217,136.141,136.132,183.913,177.537,136.125,136.12,176.008,175.024
218,134.481,134.472,179.448,173.137,134.466,134.461,171.609,170.624
219,132.318,132.311,167.676,161.365,132.306,132.302,159.837,158.855
220,140.192,140.216,196.518,181.91,140.064,140.117,179.886,178.814
221,135.328,135.313,177.81,176.149,135.313,135.308,175.172,174.211
222,129.97,129.955,170.764,170.616,129.954,129.95,169.806,168.852
223,125.993,125.978,166.089,166.498,125.977,125.973,165.823,164.874
224,122.055,122.04,162.056,162.525,122.04,122.035,161.883,160.937
225,121.388,121.407,149.407,159.424,121.408,121.408,160.937,160.281
226,115.223,115.255,143.23,153.259,115.244,115.387,154.773,154.116
227,113.492,113.965,144.985,153.047,113.484,113.668,153.187,152.394
228,111.855,112.35,143.34,151.409,111.847,112.032,151.55,150.757
229,115.696,116.007,147.215,155.276,115.685,115.807,155.416,154.552
230,117.418,117.602,148.963,157.017,117.405,117.478,157.157,156.28
231,120.002,119.995,151.579,159.63,119.986,119.986,159.77,158.886
232,123.772,123.762,155.69,163.734,123.191,123.196,163.043,162.096
233,125.467,125.455,157.593,165.581,125.038,125.04,164.89,163.942
234,122.802,122.79,154.928,162.932,122.373,122.375,162.229,161.39
235,127.512,127.499,159.86,167.811,127.267,127.269,167.12,166.172
236,124.272,124.258,156.62,164.571,124.027,124.029,163.879,162.931
237,122.321,122.308,154.67,162.62,122.077,122.079,161.929,160.981
238,121.57,121.556,153.918,161.869,121.325,121.327,161.177,160.229
239,120.107,120.093,152.455,160.406,119.862,119.864,159.714,158.766
240,106.733,106.878,134.72,144.767,106.753,106.895,146.282,145.625
241,132.897,132.907,180.668,174.293,132.88,132.876,172.765,171.851
242,127.517,127.558,175.289,168.913,127.5,127.496,167.387,166.59
243,129.315,129.302,156.242,156.094,129.3,129.296,155.291,154.763
244,126.871,126.858,154.6,155.038,126.857,126.853,154.365,153.416
245,123.108,123.095,150.819,151.274,123.094,123.09,150.601,149.666
246,127.16,127.147,150.612,151.262,127.146,127.141,150.603,149.655
247,127.095,127.082,141.55,142.204,127.081,127.076,141.546,140.613
248,127.07,127.057,140.79,141.604,127.056,127.051,140.957,140.127
249,127.007,126.994,149.542,150.353,126.993,126.989,149.705,148.764
250,125.402,125.391,148.471,147.42,125.39,125.385,147.05,146.602
251,126.298,126.296,130.52,127.906,126.295,126.291,127.73,127.705
252,127.27,127.267,140.17,133.894,127.265,127.262,132.366,131.39
253,129.07,129.066,149.997,143.692,129.063,129.059,142.164,141.185
254,123.51,123.52,139.21,144.818,123.521,123.519,145.666,145.295
255,126.214,126.213,126.21,126.21,126.211,126.208,126.211,126.203
256,127.165,127.163,137.45,132.586,127.161,127.158,131.129,130.155
257,117.166,117.163,127.45,122.587,117.162,117.158,121.13,120.156
258,0,0,0,0,0,0,0,0
259,9.83,9.82,20.11,15.25,9.82,9.82,13.79,12.93
260,168.84204,169.85869,244.83057,219.10767,159.93064,162.40354,197.09882,194.26644
261,168.09,169.11,243.99,218.27,159.23,161.69,196.53,193.7
