start,end,speed,length,capacity
182,81,13,105.91102,14
182,181,29,130.02975,17
183,182,29,211.84177,28
184,183,29,42.555965,5
185,111,13,69.77692,9
185,184,29,64.8589,8
186,185,29,64.61894,8
187,186,29,64.842255,8
188,154,29,53.869686,7
188,157,29,40.988514,5
188,187,29,53.6808,7
189,157,29,17.294674,2
190,189,29,47.48267,6
192,191,29,101.58219,13
193,89,13,79.82854,10
193,192,29,127.577225,17
194,193,29,11.60278,1
195,66,13,198.95778,26
195,180,29,18.221647,2
195,194,29,266.69568,35
196,195,29,125.10043,16
197,196,13,40.711086,5
198,197,13,111.96573,14
199,191,13,22.268976,2
199,198,13,497.93518,66
200,185,29,26.52037,3
200,191,29,18.05674,2
201,190,29,140.75235,18
201,191,29,46.2733,6
202,169,29,148.32443,19
203,202,29,74.95637,9
204,203,29,123.36738,16
205,204,29,73.098335,9
206,205,29,130.38924,17
207,206,29,113.06513,15
208,188,29,501.84964,66
208,207,29,59.89316,7
209,204,29,62.512314,8
210,209,29,82.7355,11
211,210,29,38.403496,5
212,211,29,28.227795,3
213,212,29,132.14505,17
214,208,29,123.916595,16
215,213,13,51.427326,6
215,214,29,40.17682,5
216,213,18,46.456955,6
217,216,18,48.593056,6
218,217,18,79.19262,10
219,218,18,211.8905,28
220,215,18,33.395145,4
220,216,18,27.5785,3
221,216,18,63.2092,8
222,221,18,96.447685,12
223,222,18,71.58729,9
224,223,18,70.88038,9
225,224,18,11.354928,1
226,225,18,110.96069,14
227,226,7,12.317037,1
228,227,18,29.465305,3
229,227,18,40.121056,5
230,229,18,31.342827,4
231,224,7,14.344387,1
231,225,7,15.110932,2
231,230,18,47.03146,6
232,231,18,73.97395,9
233,232,18,33.247772,4
234,233,18,47.96865,6
235,222,7,18.758204,2
235,233,18,40.12781,5
236,235,18,58.32238,7
237,236,18,35.10656,4
238,237,18,13.531044,1
239,238,18,26.334526,3
240,226,7,59.437412,7
241,217,7,22.70966,3
242,241,7,37.65873,5
243,218,7,173.92755,23
243,222,7,101.6565,13
244,223,7,80.20827,10
245,244,7,26.341295,3
246,243,7,60.1832,8
246,244,7,26.328712,3
247,246,7,63.40071,8
248,247,7,24.626436,3
249,246,7,6.282795,1
249,248,7,61.240185,8
250,224,7,105.738556,14
250,249,7,63.324226,8
251,250,7,136.59729,18
252,251,7,67.480446,8
253,219,7,123.712326,16
253,252,7,68.58189,9
254,225,7,106.89944,14
255,251,7,10.66461,1
255,254,7,136.18324,18
256,252,7,8.647285,1
256,255,7,78.76966,10
257,256,7,69.99554,9
258,255,7,883.47864,117
259,256,7,821.3753,109
260,89,13,976.2573,130
260,193,13,896.8596,119
261,194,13,821.7855,109
261,260,29,137.66615,18
