lat,lon,id
42.372658,-71.09253,1
42.37212,-71.08846,2
42.371914,-71.086876,3
42.37182,-71.08613,4
42.37173,-71.08552,5
42.371643,-71.08479,6
42.37143,-71.08313,7
42.371216,-71.08149,8
42.371002,-71.07984,9
42.370853,-71.0786,10
42.3708,-71.07817,11
42.370636,-71.07692,12
42.37236,-71.08462,13
42.37213,-71.08297,14
42.37191,-71.081314,15
42.371716,-71.07968,16
42.37169,-71.07948,17
42.37155,-71.078445,18
42.37156,-71.07821,19
42.371605,-71.07783,20
42.37315,-71.08104,21
42.372326,-71.07944,22
42.37195,-71.07867,23
42.370895,-71.077835,24
42.370777,-71.07699,25
42.37119,-71.0768,26
42.37123,-71.08704,27
42.37109,-71.086296,28
42.371025,-71.0857,29
42.37093,-71.08494,30
42.370724,-71.08329,31
42.37051,-71.08165,32
42.370316,-71.08,33
42.37016,-71.07875,34
42.36994,-71.07709,35
42.370525,-71.08721,36
42.37043,-71.08644,37
42.370335,-71.08583,38
42.370266,-71.0851,39
42.370045,-71.08345,40
42.36986,-71.08181,41
42.369633,-71.08015,42
42.36946,-71.07891,43
42.369263,-71.07725,44
42.369865,-71.08739,45
42.369766,-71.08662,46
42.369698,-71.086006,47
42.369576,-71.085266,48
42.36936,-71.08363,49
42.369156,-71.08196,50
42.368572,-71.07741,51
42.36926,-71.08753,52
42.368885,-71.08543,53
42.368713,-71.0838,54
42.368484,-71.08213,55
42.368107,-71.07923,56
42.36792,-71.07756,57
42.368496,-71.08771,58
42.368275,-71.08583,59
42.368233,-71.085556,60
42.368004,-71.08396,61
42.367817,-71.08228,62
42.367645,-71.0811,63
42.36752,-71.08001,64
42.367455,-71.07938,65
42.367226,-71.07772,66
42.367825,-71.087845,67
42.367607,-71.085976,68
42.367584,-71.085724,69
42.367363,-71.08412,70
42.366985,-71.081535,71
42.366768,-71.079544,72
42.36666,-71.078674,73
42.36656,-71.07787,74
42.367134,-71.088036,75
42.36666,-71.085945,76
42.36666,-71.08427,77
42.366383,-71.082,78
42.366325,-71.08154,79
42.366093,-71.07971,80
42.365856,-71.07804,81
42.366436,-71.08809,82
42.366207,-71.08605,83
42.366337,-71.087944,84
42.366253,-71.08726,85
42.366142,-71.08671,86
42.365623,-71.08244,87
42.36531,-71.07988,88
42.365093,-71.078224,89
42.36452,-71.08858,90
42.36433,-71.088104,91
42.36401,-71.08733,92
42.36307,-71.08512,93
42.36276,-71.08439,94
42.36236,-71.08375,95
42.362194,-71.08317,96
42.362144,-71.08212,97
42.362617,-71.08207,98
42.36299,-71.08233,99
42.363365,-71.083786,100
42.3644,-71.08476,101
42.364193,-71.0843,102
42.36385,-71.08347,103
42.36395,-71.08342,104
42.363773,-71.08271,105
42.363632,-71.08199,106
42.364464,-71.08312,107
42.364304,-71.081924,108
42.36428,-71.08174,109
42.364075,-71.08017,110
42.363857,-71.078545,111
42.365322,-71.08457,112
42.365093,-71.08276,113
42.364967,-71.08176,114
42.36475,-71.08002,115
42.364536,-71.078354,116
42.36396,-71.08748,117
42.362965,-71.085106,118
42.36265,-71.08441,119
42.362286,-71.083824,120
42.36214,-71.0834,121
42.361927,-71.08196,122
42.361794,-71.08017,123
42.361732,-71.07924,124
42.36355,-71.08784,125
42.3631,-71.08804,126
42.36262,-71.08816,127
42.362373,-71.08486,128
42.362473,-71.08708,129
42.362328,-71.08517,130
42.36221,-71.08423,131
42.362366,-71.0871,132
42.361904,-71.08716,133
42.361824,-71.08622,134
42.361244,-71.086296,135
42.36106,-71.08618,136
42.36042,-71.086395,137
42.360767,-71.08539,138
42.36109,-71.08436,139
42.359966,-71.08764,140
42.361176,-71.08832,141
42.36245,-71.08818,142
42.361923,-71.08522,143
42.36191,-71.08504,144
42.361916,-71.08448,145
42.361675,-71.08526,146
42.361473,-71.084526,147
42.361458,-71.08433,148
42.361366,-71.083885,149
42.360313,-71.083885,150
42.360752,-71.08256,151
42.361088,-71.08159,152
42.36145,-71.08024,153
42.361366,-71.07951,154
42.3609,-71.079735,155
42.361065,-71.07935,156
42.36125,-71.079094,157
42.37079,-71.076096,158
42.37068,-71.07595,159
42.370556,-71.07633,160
42.3704,-71.075714,161
42.370186,-71.07527,162
42.36914,-71.07314,163
42.368946,-71.07275,164
42.36876,-71.07238,165
42.36784,-71.07056,166
42.36736,-71.0696,167
42.367085,-71.06905,168
42.366653,-71.068275,169
42.36825,-71.07174,170
42.368187,-71.071976,171
42.367657,-71.07056,172
42.367287,-71.06977,173
42.36666,-71.069855,174
42.369022,-71.07352,175
42.36886,-71.07362,176
42.368607,-71.073906,177
42.36798,-71.07457,178
42.368298,-71.075195,179
42.36694,-71.075554,180
42.36666,-71.07584,181
42.36571,-71.07677,182
42.364143,-71.07823,183
42.3638,-71.07846,184
42.363235,-71.07866,185
42.362663,-71.0788,186
42.362083,-71.07888,187
42.361603,-71.07894,188
42.361107,-71.07902,189
42.36138,-71.078575,190
42.36305,-71.07834,191
42.363956,-71.0782,192
42.364887,-71.07729,193
42.36497,-71.07721,194
42.36693,-71.07533,195
42.367844,-71.07445,196
42.367603,-71.07407,197
42.36666,-71.074554,198
42.363014,-71.07807,199
42.36301,-71.07855,200
42.362633,-71.078316,201
42.36563,-71.069435,202
42.364998,-71.06975,203
42.363953,-71.07025,204
42.36342,-71.07077,205
42.362637,-71.07195,206
42.361755,-71.07264,207
42.36124,-71.07285,208
42.363438,-71.07056,209
42.362946,-71.07131,210
42.362705,-71.07165,211
42.362473,-71.071785,212
42.361378,-71.07116,213
42.361095,-71.07136,214
42.360954,-71.07091,215
42.3614,-71.070595,216
42.3618,-71.07083,217
42.362507,-71.0707,218
42.36429,-71.069786,219
42.361153,-71.0706,220
42.361168,-71.06989,221
42.36126,-71.068726,222
42.36122,-71.067856,223
42.361244,-71.06699,224
42.361233,-71.06686,225
42.361244,-71.065506,226
42.361134,-71.06551,227
42.361137,-71.065155,228
42.36113,-71.066,229
42.36113,-71.06638,230
42.36112,-71.066956,231
42.36111,-71.067856,232
42.3611,-71.06826,233
42.36067,-71.06824,234
42.36109,-71.06875,235
42.361076,-71.06946,236
42.361073,-71.069885,237
42.361027,-71.07004,238
42.360905,-71.07031,239
42.36178,-71.06554,240
42.36178,-71.07056,241
42.36154,-71.07023,242
42.36217,-71.068634,243
42.361942,-71.06789,244
42.36195,-71.067566,245
42.36218,-71.0679,246
42.362747,-71.06796,247
42.36272,-71.067665,248
42.362183,-71.067825,249
42.362194,-71.067055,250
42.363422,-71.06703,251
42.363914,-71.06751,252
42.363968,-71.068344,253
42.362194,-71.06687,254
42.36342,-71.0669,255
42.363987,-71.067474,256
42.364056,-71.06832,257
42.363422,-71.06656,258
42.36456,-71.06722,259
42.36492,-71.07746,260
42.36504,-71.07737,261
